tconst,ordering,nconst,category,job,characters,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
tt0095936,1,nm0451148,actor,\N,"[""Raj""]",Aamir Khan,1965,\N,"actor,producer,soundtrack","tt0169102,tt5074352,tt0405508,tt0986264"
tt0096140,3,nm0000821,actor,\N,"[""Police Inspector (Sp Appearance)""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0096734,1,nm0000158,actor,\N,"[""Ray Peterson""]",Tom Hanks,1956,\N,"producer,actor,soundtrack","tt0162222,tt0120815,tt0109830,tt0094737"
tt0097609,3,nm0000821,actor,\N,"[""Goga""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0097784,1,nm0451148,actor,\N,"[""Amit Verma""]",Aamir Khan,1965,\N,"actor,producer,soundtrack","tt0169102,tt5074352,tt0405508,tt0986264"
tt0097812,1,nm0000821,actor,\N,"[""Azaad""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0098491,1,nm0000821,actor,\N,"[""Dual Role (Toofan & Shyam)""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0098536,1,nm0000158,actor,\N,"[""Scott Turner""]",Tom Hanks,1956,\N,"producer,actor,soundtrack","tt0162222,tt0120815,tt0109830,tt0094737"
tt0098800,1,nm0000226,self,\N,"[""Will Smith"",""Himself""]",Will Smith,1968,\N,"music_department,actor,producer","tt0480249,tt0120891,tt0119654,tt0098800"
tt0098887,9,nm0000138,actor,\N,"[""Garry Buckman""]",Leonardo DiCaprio,1974,\N,"actor,producer,writer","tt0407887,tt0993846,tt0120338,tt1375666"
tt0098976,1,nm0000821,actor,\N,"[""Bhim Singh""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0098999,1,nm0000821,actor,\N,"[""Vijay Dinanath Chavan""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0099080,1,nm0006795,actor,\N,"[""Saajan Sood""]",Salman Khan,1965,\N,"actor,producer,soundtrack","tt4832640,tt3595298,tt2016894,tt3863552"
tt0099165,1,nm0000158,actor,\N,"[""Sherman McCoy""]",Tom Hanks,1956,\N,"producer,actor,soundtrack","tt0162222,tt0120815,tt0109830,tt0094737"
tt0099329,1,nm0000136,actor,\N,"[""Cry-Baby""]",Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0383574,tt0408236"
tt0099429,1,nm0451148,actor,\N,"[""Raja""]",Aamir Khan,1965,\N,"actor,producer,soundtrack","tt0169102,tt5074352,tt0405508,tt0986264"
tt0099487,1,nm0000136,actor,\N,"[""Edward Scissorhands""]",Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0383574,tt0408236"
tt0099892,1,nm0000158,actor,\N,"[""Joe""]",Tom Hanks,1956,\N,"producer,actor,soundtrack","tt0162222,tt0120815,tt0109830,tt0094737"
tt0100095,1,nm0006795,actor,\N,"[""Prem Choudhary""]",Salman Khan,1965,\N,"actor,producer,soundtrack","tt4832640,tt3595298,tt2016894,tt3863552"
tt0101283,1,nm0000821,actor,\N,"[""Ajooba"",""Ali""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0101284,1,nm0000821,actor,\N,"[""Insp. Vijay Verma""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0101733,1,nm0451148,actor,\N,"[""Raghu Jetley""]",Aamir Khan,1965,\N,"actor,producer,soundtrack","tt0169102,tt5074352,tt0405508,tt0986264"
tt0101742,1,nm0451148,actor,\N,"[""Ajay Sharma""]",Aamir Khan,1965,\N,"actor,producer,soundtrack","tt0169102,tt5074352,tt0405508,tt0986264"
tt0102071,1,nm0000821,actor,\N,"[""Tiger"",""Shekhar""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0102119,1,nm0000821,actor,\N,"[""Indrajeet""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0102645,1,nm0006795,actor,\N,"[""Suraj Verma""]",Salman Khan,1965,\N,"actor,producer,soundtrack","tt4832640,tt3595298,tt2016894,tt3863552"
tt0102746,3,nm0006795,actor,\N,"[""Akash Singh""]",Salman Khan,1965,\N,"actor,producer,soundtrack","tt4832640,tt3595298,tt2016894,tt3863552"
tt0102825,3,nm0006795,actor,\N,"[""Akash Verma""]",Salman Khan,1965,\N,"actor,producer,soundtrack","tt4832640,tt3595298,tt2016894,tt3863552"
tt0102835,1,nm0006795,actor,\N,"[""Salman Khan""]",Salman Khan,1965,\N,"actor,producer,soundtrack","tt4832640,tt3595298,tt2016894,tt3863552"
tt0102846,2,nm0474774,actor,\N,"[""Shiva""]",Akshay Kumar,1967,\N,"actor,producer,soundtrack","tt3848892,tt2283748,tt1146325,tt0242519"
tt0104072,1,nm0474774,actor,\N,"[""Anand K. Malhotra""]",Akshay Kumar,1967,\N,"actor,producer,soundtrack","tt3848892,tt2283748,tt1146325,tt0242519"
tt0104478,5,nm0451321,actor,\N,"[""Pawan Raghujan""]",Shah Rukh Khan,1965,\N,"actor,producer,soundtrack","tt0420332,tt2112124,tt1285241,tt0238936"
tt0104561,1,nm0451148,actor,\N,"[""Sanjaylal Sharma""]",Aamir Khan,1965,\N,"actor,producer,soundtrack","tt0169102,tt5074352,tt0405508,tt0986264"
tt0104605,1,nm0474774,actor,\N,"[""Raj Malhotra""]",Akshay Kumar,1967,\N,"actor,producer,soundtrack","tt3848892,tt2283748,tt1146325,tt0242519"
tt0104607,1,nm0000821,actor,\N,"[""Baadshah Khan""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0104694,1,nm0000158,actor,\N,"[""Jimmy Dugan""]",Tom Hanks,1956,\N,"producer,actor,soundtrack","tt0162222,tt0120815,tt0109830,tt0094737"
tt0104927,1,nm0474774,actor,\N,"[""Mr. Bond""]",Akshay Kumar,1967,\N,"actor,producer,soundtrack","tt3848892,tt2283748,tt1146325,tt0242519"
tt0105007,2,nm0006795,actor,\N,"[""Vasudev Gujral"",""Rohan Yadav""]",Salman Khan,1965,\N,"actor,producer,soundtrack","tt4832640,tt3595298,tt2016894,tt3863552"
tt0105500,1,nm0006795,actor,\N,"[""Vicky"",""Suryavanshi Vikram Singh""]",Salman Khan,1965,\N,"actor,producer,soundtrack","tt4832640,tt3595298,tt2016894,tt3863552"
tt0106307,1,nm0000136,actor,\N,"[""Axel Blackmar""]",Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0383574,tt0408236"
tt0106333,1,nm0451321,actor,\N,"[""Ajay Sharma""]",Shah Rukh Khan,1965,\N,"actor,producer,soundtrack","tt0420332,tt2112124,tt1285241,tt0238936"
tt0106387,1,nm0000136,actor,\N,"[""Sam""]",Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0383574,tt0408236"
tt0106541,7,nm0006795,writer,idea,\N,Salman Khan,1965,\N,"actor,producer,soundtrack","tt4832640,tt3595298,tt2016894,tt3863552"
tt0106725,2,nm0006795,actor,\N,"[""Vijay""]",Salman Khan,1965,\N,"actor,producer,soundtrack","tt4832640,tt3595298,tt2016894,tt3863552"
tt0106799,1,nm0222426,actor,\N,"[""Karan Singh""]",Ajay Devgn,1969,\N,"actor,producer,music_department","tt3771536,tt0319736,tt1395054,tt0296574"
tt0107166,1,nm0451148,actor,\N,"[""Rahul Malhotra""]",Aamir Khan,1965,\N,"actor,producer,soundtrack","tt0169102,tt5074352,tt0405508,tt0986264"
tt0107249,1,nm0006795,actor,\N,"[""Jugnu""]",Salman Khan,1965,\N,"actor,producer,soundtrack","tt4832640,tt3595298,tt2016894,tt3863552"
tt0107321,2,nm0451321,actor,\N,"[""Anil Bansal""]",Shah Rukh Khan,1965,\N,"actor,producer,soundtrack","tt0420332,tt2112124,tt1285241,tt0238936"
tt0107478,3,nm0000226,actor,\N,"[""Tea Cake Walters""]",Will Smith,1968,\N,"music_department,actor,producer","tt0480249,tt0120891,tt0119654,tt0098800"
tt0107777,3,nm0451148,actor,\N,"[""Ranvir Prithvi Singh""]",Aamir Khan,1965,\N,"actor,producer,soundtrack","tt0169102,tt5074352,tt0405508,tt0986264"
tt0107818,1,nm0000158,actor,\N,"[""Andrew Beckett""]",Tom Hanks,1956,\N,"producer,actor,soundtrack","tt0162222,tt0120815,tt0109830,tt0094737"
tt0108149,1,nm0000226,actor,\N,"[""Paul""]",Will Smith,1968,\N,"music_department,actor,producer","tt0480249,tt0120891,tt0119654,tt0098800"
tt0108160,1,nm0000158,actor,\N,"[""Sam Baldwin""]",Tom Hanks,1956,\N,"producer,actor,soundtrack","tt0162222,tt0120815,tt0109830,tt0094737"
tt0108330,2,nm0000138,actor,\N,"[""Toby""]",Leonardo DiCaprio,1974,\N,"actor,producer,writer","tt0407887,tt0993846,tt0120338,tt1375666"
tt0108550,1,nm0000136,actor,\N,"[""Gilbert Grape""]",Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0383574,tt0408236"
tt0108550,2,nm0000138,actor,\N,"[""Arnie Grape""]",Leonardo DiCaprio,1974,\N,"actor,producer,writer","tt0407887,tt0993846,tt0120338,tt1375666"
tt0109069,4,nm0000821,actor,\N,"[""Special Appearance (Song)""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0109091,2,nm0474774,actor,\N,"[""Amar""]",Akshay Kumar,1967,\N,"actor,producer,soundtrack","tt3848892,tt2283748,tt1146325,tt0242519"
tt0109117,1,nm0451148,actor,\N,"[""Amar""]",Aamir Khan,1965,\N,"actor,producer,soundtrack","tt0169102,tt5074352,tt0405508,tt0986264"
tt0109117,2,nm0006795,actor,\N,"[""Prem""]",Salman Khan,1965,\N,"actor,producer,soundtrack","tt4832640,tt3595298,tt2016894,tt3863552"
tt0109134,2,nm0451321,actor,\N,"[""Vijay Agnihotri""]",Shah Rukh Khan,1965,\N,"actor,producer,soundtrack","tt0420332,tt2112124,tt1285241,tt0238936"
tt0109391,2,nm0006795,actor,\N,"[""Shyam S. Malhotra""]",Salman Khan,1965,\N,"actor,producer,soundtrack","tt4832640,tt3595298,tt2016894,tt3863552"
tt0109555,3,nm0451321,actor,\N,"[""Rahul Mehra""]",Shah Rukh Khan,1965,\N,"actor,producer,soundtrack","tt0420332,tt2112124,tt1285241,tt0238936"
tt0109707,1,nm0000136,actor,\N,"[""Ed Wood""]",Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0383574,tt0408236"
tt0109820,1,nm0000138,actor,\N,"[""Bud""]",Leonardo DiCaprio,1974,\N,"actor,producer,writer","tt0407887,tt0993846,tt0120338,tt1375666"
tt0109830,1,nm0000158,actor,\N,"[""Forrest Gump""]",Tom Hanks,1956,\N,"producer,actor,soundtrack","tt0162222,tt0120815,tt0109830,tt0094737"
tt0110076,2,nm0006795,actor,\N,"[""Prem""]",Salman Khan,1965,\N,"actor,producer,soundtrack","tt4832640,tt3595298,tt2016894,tt3863552"
